age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
6,7,0,9,2,4,1,1,4,1,13,0,2,39,0
7,6,0,9,2,2,4,0,4,1,0,0,0,39,0
6,4,0,11,5,0,6,1,4,1,0,0,2,39,0
7,4,0,1,0,2,6,0,2,1,0,0,2,39,0
4,4,0,9,2,2,10,5,2,0,0,0,2,5,0
6,4,0,12,3,2,4,5,4,0,0,0,2,39,0
7,4,0,6,0,3,8,1,2,0,0,0,0,23,0
7,6,0,11,5,2,4,0,4,1,0,0,3,39,1
5,4,0,12,3,4,10,1,4,0,18,0,4,39,1
7,4,0,9,2,2,4,0,4,1,9,0,2,39,1
6,4,0,15,6,2,4,0,2,1,0,0,5,39,1
4,7,0,9,2,2,10,0,1,1,0,0,2,19,1
1,4,0,9,2,4,1,3,4,0,0,0,0,39,0
5,4,0,7,1,4,12,1,2,1,0,0,4,39,0
6,4,0,8,1,2,3,0,1,1,0,0,2,0,1
5,4,0,5,0,2,14,0,0,1,0,0,3,26,0
3,6,0,11,5,4,5,3,4,1,0,0,1,39,0
5,4,0,11,5,4,7,4,4,1,0,0,2,39,0
6,4,0,1,0,2,12,0,4,1,0,0,4,39,0
7,6,0,12,3,0,4,4,4,0,0,0,3,39,1
6,4,0,10,4,2,10,0,4,1,0,0,4,39,1
7,4,0,11,5,5,8,4,2,0,0,0,0,39,0
5,1,0,6,0,2,5,0,2,1,0,0,2,39,0
7,4,0,1,0,2,14,0,4,1,0,11,2,39,0
8,4,0,11,5,0,13,4,4,0,0,0,2,39,0
8,2,0,9,2,2,13,0,4,1,0,0,2,39,1
0,4,0,11,5,4,3,3,4,1,0,0,2,39,0
7,0,0,15,6,2,0,0,1,1,0,0,4,35,1
6,4,0,11,5,0,4,1,4,1,0,0,5,39,0
7,4,0,11,5,2,3,0,4,1,0,0,2,39,0
1,2,0,7,1,4,11,1,4,1,0,0,4,39,0
0,4,0,15,6,4,12,3,2,1,0,0,3,39,0
7,4,0,9,2,0,4,3,4,1,0,0,2,39,0
4,1,0,15,6,2,1,3,4,1,0,0,2,39,0
1,7,0,15,6,2,8,0,2,1,0,0,0,39,0
7,4,0,1,0,4,7,4,4,1,0,0,2,33,0
0,4,0,15,6,4,7,3,4,1,0,0,2,39,0
0,4,0,11,5,1,1,5,4,0,0,0,0,39,0
5,4,0,15,6,2,12,0,4,1,0,0,1,0,1
7,6,0,7,1,2,10,0,4,1,0,0,2,39,0
5,4,0,6,0,2,7,0,4,1,0,0,3,39,0
7,6,0,9,2,2,10,0,4,1,0,0,2,39,0
2,4,0,9,2,2,13,0,4,1,0,0,4,39,0
7,4,0,11,5,5,1,4,4,0,0,0,2,39,0
