HotelName,StartRating,Value,Location,Sleep Quality,Rooms,Cleanliness,Service,Overall Rating,Continent of Origin,Travel Type
Orchard Parade - A Far East Hotel,3.5 ,5 ,5 ,4 ,3 ,5 ,3 ,4 ,Europe,Business
Hotel Royal Singapore,3.5 ,1 ,3 ,1 ,1 ,1 ,1 ,1 ,Europe,Business
Carlton Hotel Singapore,4.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Naumi Hotel,4.5 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Crowne Plaza Hotel Changi Airport,4.5 ,4 ,4 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
York Hotel,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Family
Royal Plaza on Scotts,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Grand Park Orchard,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Naumi Hotel,4.5 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Fairmont Singapore,4.5 ,4 ,5 ,4 ,4 ,5 ,4 ,5 ,Europe,Couple
Grand Park Orchard,5.0 ,4 ,4 ,1 ,5 ,5 ,5 ,3 ,Europe,Couple
"Traders Hotel, Singapore",4.0 ,4 ,4 ,4 ,4 ,5 ,5 ,5 ,Europe,Couple
Holiday Inn Singapore Orchard City Centre,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Family
Holiday Inn Singapore Orchard City Centre,4.0 ,5 ,4 ,4 ,4 ,4 ,4 ,4 ,Europe,Family
Pan Pacific Singapore,4.5 ,4 ,4 ,4 ,4 ,4 ,4 ,5 ,Asia,Couple
Shangri-La Hotel,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Asia,Couple
Park Hotel Clarke Quay,4.0 ,2 ,4 ,2 ,1 ,3 ,3 ,3 ,Asia,Couple
Studio M Hotel,4.0 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,Asia,Couple
Pan Pacific Singapore,4.5 ,4 ,4 ,4 ,4 ,4 ,4 ,5 ,Asia,Family
Marina Bay Sands,5.0 ,3 ,5 ,5 ,5 ,5 ,3 ,4 ,Asia,Couple
Swissotel The Stamford,4.5 ,3 ,4 ,3 ,3 ,4 ,3 ,3 ,Asia,Business
Pan Pacific Orchard,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Asia,Business
Grand Park City Hall,5.0 ,4 ,5 ,4 ,4 ,4 ,4 ,4 ,Asia,Business
Marina Bay Sands,5.0 ,3 ,5 ,3 ,4 ,3 ,3 ,4 ,Asia,Business
Mandarin Orchard Singapore,4.5 ,5 ,5 ,4 ,4 ,5 ,4 ,4 ,Asia,Business
Cultural Hotel,2.5 ,2 ,4 ,2 ,2 ,3 ,2 ,2 ,Asia,Business
Park Hotel Clarke Quay,4.0 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,Asia,Couple
PARKROYAL on Beach Road,4.0 ,4 ,4 ,4 ,4 ,4 ,3 ,3 ,Asia,Couple
